STT,CID,SMILES,IC50 (uM),"1,3-diphenylurea",1H-indazole,Beta-carboline,Dihydropyridine,Furan,"Imidazo(2,1-b)thiazole",Imidazole,Indole,Isoquinoline,"Naphtho(2,3-d)imidazole-4,9-dione","Naphtho(2,3-d)thiazole-4,9-dione",Naphthoquinone,Quinoline,Quinone,Quinoxaline,Thiohydantoin,Thiophene,Triazole,Tryptophan,"1H-indole-4,7-dione","5H-imidazo(5,1-a)isoindole",Brassinin,Tryptanthrin,"3-(1H-indol-3-yl)pyrrolidine-2,5-dione",Other
2782,156021674,C[C@H](C(=O)NC1=CC=C(C=C1)F)C23CC(C2)(C3)NC4=NC=NC5=C4C=C(C=C5)F,"0,276",,,,,,,,,,,,,,,,,,,,,,,,,x
2783,156022739,C1CC[C@H]([C@@H](C1)CNC2=CC(=CC3=C2C=NN3)Br)O,"0,64",,x,,,,,,,,,,,,,,,,,,,,,,,
2784,156207545,CN(C(=O)CC1=CC=CC=C1)NC2=NON=C2C(=NC3=CC(=C(C=C3)F)Cl)NO,"0,082",,,,,,,,,,,,,,,,,,,,,,,,,x
2785,156267232,C1CC(CC(C1)CNS(=O)(=O)N)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,"0,072",,,,,,,,,,,,,,,,,,,,,,,,,x
2786,156267894,C1CC(CC(C1)NS(=O)(=O)N)CCNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,x
2787,156267931,C1CC(CC1CNS(=O)(=O)N)NC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,"0,006",,,,,,,,,,,,,,,,,,,,,,,,,x
2788,156267972,C1CC(CCC1CCNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N)CCNS(=O)(=O)N,"0,051",,,,,,,,,,,,,,,,,,,,,,,,,x
2789,156327014,CC[C@@H](C1CCC2(CC1)COC3=C2C=CC(=C3)C(F)(F)F)C(=O)NC4=NC=C(C=C4)Cl,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,x
2790,156506781,CN1C=NC=C1C2=CC(=CC=C2)Cl,"12,9",,,,,,,x,,,,,,,,,,,,,,,,,,
2791,156514299,CC(C1[C@H]2[C@@H]1CC(C2)OC3=C4C=C(C=CC4=NC=C3)F)C(=O)NC5=CN(N=C5)C(F)F,"0,002",,,,,,,,,,,,,x,,,,,,,,,,,,
2792,156514304,CCC(C1[C@H]2[C@@H]1CC(C2)OC3=C4C=C(C=CC4=NC=C3)F)C(=O)NC5=CN(N=C5)C(F)F,"0,00097",,,,,,,,,,,,,x,,,,,,,,,,,,
2793,156541874,CC(C1[C@H]2[C@@H]1CC(C2)N3C=NC4=CC(=C(C=C43)F)F)C(=O)NC5=CN(N=C5)C(F)F,"0,014",,,,,,,x,,,,,,,,,,,,,,,,,,
2794,156541893,CC(C1[C@H]2[C@@H]1CC(C2)OC3=C4C=C(C=CC4=NC=C3)F)C(=O)NC5=CN(C=C5)C(F)(F)F,"0,0037",,,,,,,,,,,,,x,,,,,,,,,,,,
2795,156596234,C[S@](=N)(=O)C1CC(C1)NC2=NON=C2C(=N[C@@H]3CC4=C3C=C(C=C4)F)NO,"0,0567",,,,,,,,,,,,,,,,,,,,,,,,,x
2796,156596235,CON=[S@@](=O)(C)CCNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,"0,0449",,,,,,,,,,,,,,,,,,,,,,,,,x
2797,156596236,CON=[S@](=O)(C)CCNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,"0,0472",,,,,,,,,,,,,,,,,,,,,,,,,x
2798,156653456,COC1=CC(=CC(=C1)N=C(C2=CC3=C(C=C2)OC4=CC=CC=C43)NO)OC,30,,,,,x,,,,,,,,,,,,,,,,,,,,
2799,156653457,CC(=O)C1=CC(=CC=C1)N=C(C2=CC3=C(C=C2)OC=C3)NO,30,,,,,x,,,,,,,,,,,,,,,,,,,,
2800,156653458,C1=CC(=CC(=C1)Br)N=C(C2=CC3=C(C=C2)OC(=C3)CO)NO,"0,955",,,,,x,,,,,,,,,,,,,,,,,,,,
2801,156653459,C1=CSC(=C1)CN=C(C2=CC3=C(C=C2)OC=C3)NO,"23,1",,,,,x,,,,,,,,,,,,x,,,,,,,,
2802,156653460,C1=COC(=C1)CN=C(C2=CC3=C(C=C2)OC=C3)NO,30,,,,,x,,,,,,,,,,,,,,,,,,,,
2803,156653461,C1=CC2=C(C=CO2)C=C1C(=NC3=CC(=C(C=C3)F)F)NO,"18,35",,,,,x,,,,,,,,,,,,,,,,,,,,
2804,156653462,C1=CC(=CC(=C1)Cl)N=C(C2=CC3=C(C=C2)OC(=C3)CO)NO,"6,95",,,,,x,,,,,,,,,,,,,,,,,,,,
2805,156653463,C1CC1CN=C(C2=CC3=C(C=C2)OC=C3)NO,30,,,,,x,,,,,,,,,,,,,,,,,,,,
2806,156653464,C1=CC=C(C=C1)C2=CC3=C(O2)C=CC(=C3)C(=NC4=CC(=CC=C4)Br)NO,"4,75",,,,,x,,,,,,,,,,,,,,,,,,,,
2807,156653465,C1=CC2=C(C=CO2)C=C1C(=NC3=CC(=C(C=C3)Cl)F)NO,"20,15",,,,,x,,,,,,,,,,,,,,,,,,,,
2808,156653466,C1=CC=C2C(=C1)C3=C(O2)C=CC(=C3)C(=NCC4=CC(=CC=C4)Cl)NO,"16,6",,,,,x,,,,,,,,,,,,,,,,,,,,
2809,156653468,C1=CC(=CC(=C1)Br)N=C(C2=CC3=C(C=C2)OC=C3)NO,"0,77",,,,,x,,,,,,,,,,,,,,,,,,,,
2810,156653469,CC1=C(C=C(C=C1)N=C(C2=CC3=C(C=C2)OC=C3)NO)C,30,,,,,x,,,,,,,,,,,,,,,,,,,,
2811,156653470,C1=CC2=C(C=CO2)C=C1C(=NC3=CC(=C(C=C3)F)Br)NO,"2,1",,,,,x,,,,,,,,,,,,,,,,,,,,
2812,156653471,C1CCC(CC1)CNC(=O)C2=CC(=CC=C2)N=C(C3=CC4=C(C=C3)OC=C4)NO,30,,,,,x,,,,,,,,,,,,,,,,,,,,
2813,156653472,C1=CC(=C(C=C1CN=C(C2=CC3=C(C=C2)OC=C3)NO)Cl)F,"19,8",,,,,x,,,,,,,,,,,,,,,,,,,,
2814,156653473,C1=CC(=CC(=C1)Cl)CN=C(C2=CC3=C(C=C2)OC=C3)NO,"17,9",,,,,x,,,,,,,,,,,,,,,,,,,,
2815,156653474,COCC1=CC2=C(O1)C=CC(=C2)C(=NC3=CC(=CC=C3)Cl)NO,"1,6",,,,,x,,,,,,,,,,,,,,,,,,,,
2816,156653476,COCC1=CC2=C(O1)C=CC(=C2)C(=NC3=CC(=CC=C3)Br)NO,"1,715",,,,,x,,,,,,,,,,,,,,,,,,,,
2817,156653479,C1=CC=C(C=C1)OC2=CC=CC(=C2)N=C(C3=CC4=C(C=C3)OC=C4)NO,30,,,,,x,,,,,,,,,,,,,,,,,,,,
2818,156653480,C1=CC(=CC(=C1)F)N=C(C2=CC3=C(C=C2)OC=C3)NO,"26,35",,,,,x,,,,,,,,,,,,,,,,,,,,
2819,156653481,CCCCOC1=CC=CC(=C1)N=C(C2=CC3=C(C=C2)OC=C3)NO,30,,,,,x,,,,,,,,,,,,,,,,,,,,
2820,156653483,CC1CCN(CC1)C(=O)C2=CC(=CC=C2)N=C(C3=CC4=C(C=C3)OC=C4)NO,30,,,,,x,,,,,,,,,,,,,,,,,,,,
2821,156653484,C1=CC=C2C(=C1)C3=C(O2)C=CC(=C3)C(=NC4=CC(=CC=C4)Cl)NO,"4,7",,,,,x,,,,,,,,,,,,,,,,,,,,
2822,156653485,C1=CC=C2C(=C1)C3=C(O2)C=CC(=C3)C(=NC4=CC(=C(C=C4)F)Br)NO,"9,3",,,,,x,,,,,,,,,,,,,,,,,,,,
2823,156653487,C1=CC=C(C=C1)CNC(=O)C2=CC(=CC=C2)N=C(C3=CC4=C(C=C3)OC=C4)NO,30,,,,,x,,,,,,,,,,,,,,,,,,,,
2824,156653489,C1=CC=C(C=C1)C2=CC3=C(O2)C=CC(=C3)C(=NC4=CC(=CC=C4)Cl)NO,"10,8",,,,,x,,,,,,,,,,,,,,,,,,,,
2825,156653490,C1=CC2=C(C=CO2)C=C1C(=NC3=CC(=C(C=C3)F)C(F)(F)F)NO,"1,7",,,,,x,,,,,,,,,,,,,,,,,,,,
2826,156653492,C1CC1COCC2=CC3=C(O2)C=CC(=C3)C(=NC4=CC(=CC=C4)F)NO,"5,1",,,,,x,,,,,,,,,,,,,,,,,,,,
2827,156653493,C1=CC(=CC(=C1)Cl)N=C(C2=CC3=C(C=C2)OC=C3)NO,"1,095",,,,,x,,,,,,,,,,,,,,,,,,,,
2828,156653494,C1=CC=C2C(=C1)C3=C(O2)C=CC(=C3)C(=NC4=CC(=CC=C4)Br)NO,"6,05",,,,,x,,,,,,,,,,,,,,,,,,,,
2829,156653496,C1=CC(=CC(=C1)N=C(C2=CC3=C(C=C2)OC=C3)NO)C(F)(F)F,"1,55",,,,,x,,,,,,,,,,,,,,,,,,,,
2830,156653498,C1=CC=C2C(=C1)C3=C(O2)C=CC(=C3)C(=NC4=CC(=C(C=C4)F)Cl)NO,"16,2",,,,,x,,,,,,,,,,,,,,,,,,,,
2831,156653499,C1=CC=C(C=C1)C2=CC3=C(O2)C=CC(=C3)C(=NC4=CC(=CC=C4)F)NO,"10,8",,,,,x,,,,,,,,,,,,,,,,,,,,
2832,156653500,C1=CC=C(C=C1)N=C(C2=CC3=C(C=C2)OC=C3)NO,"24,5",,,,,x,,,,,,,,,,,,,,,,,,,,
2833,156653502,C1=CC=C(C=C1)CN=C(C2=CC3=C(C=C2)OC=C3)NO,"29,1",,,,,x,,,,,,,,,,,,,,,,,,,,
2834,156653504,C1=CC=C(C=C1)CC2=CC(=CC=C2)N=C(C3=CC4=C(C=C3)OC=C4)NO,30,,,,,x,,,,,,,,,,,,,,,,,,,,
2835,156653505,C1=CC=C(C=C1)OCC2=CC(=CC=C2)N=C(C3=CC4=C(C=C3)OC=C4)NO,30,,,,,x,,,,,,,,,,,,,,,,,,,,
2836,156653506,C1=CC=C(C=C1)C2=CC(=CC=C2)N=C(C3=CC4=C(C=C3)OC=C4)NO,"11,45",,,,,x,,,,,,,,,,,,,,,,,,,,
2837,156653507,C1CC1COCC2=CC3=C(O2)C=CC(=C3)C(=NC4=CC(=CC=C4)Br)NO,"1,8",,,,,x,,,,,,,,,,,,,,,,,,,,
2838,156653508,C1=CC(=CC(=C1)F)N=C(C2=CC3=C(C=C2)OC(=C3)CO)NO,"2,05",,,,,x,,,,,,,,,,,,,,,,,,,,
2839,156653511,C1=CC(=CC=C1N=C(C2=CC3=C(C=C2)OC=C3)NO)Cl,30,,,,,x,,,,,,,,,,,,,,,,,,,,
2840,156653512,C1=CC2=C(C=CO2)C=C1C(=NC3=CC(=C(C=C3)F)Cl)NO,"3,5",,,,,x,,,,,,,,,,,,,,,,,,,,
2841,156653513,COCC1=CC2=C(O1)C=CC(=C2)C(=NC3=CC(=CC=C3)F)NO,"6,6",,,,,x,,,,,,,,,,,,,,,,,,,,
2842,156673320,C1CC(CCC1CNS(=O)(=O)N)NC2=NON=C2C3=NOC(=O)N3C4=CC(=C(C=C4)F)Br,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,x
2843,156675035,C1CC(CC(C1)CCNS(=O)(=O)N)CCNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,"0,063",,,,,,,,,,,,,,,,,,,,,,,,,x
2844,156675036,C1CC(CC(C1)CNS(=O)(=O)N)CCNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,"0,108",,,,,,,,,,,,,,,,,,,,,,,,,x
2845,156675043,C1CC(CC1CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)NS(=O)(=O)N,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,x
2846,156675046,C1CC(CC(C1)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N)CCNS(=O)(=O)N,"0,083",,,,,,,,,,,,,,,,,,,,,,,,,x
2847,156700969,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=CC(=CC=C4)Br,"3,7",,,,,,,x,,,,,,,,,,,,,,,,,,
2848,156700972,C1=CC=C2C(=C1)N=C(O2)COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,"136,1",,,,,,,x,,,,,,,,,,,,,,,,,,
2849,156700973,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=CC=C(C=C4)Br,"49,3",,,,,,,x,,,,,,,,,,,,,,,,,,
2850,156700974,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,"6,7",,,,,,,x,,,,,,,,,,,,,,,,,,
2851,156700975,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=CC(=C(C=C4)Cl)F,"57,7",,,,,,,x,,,,,,,,,,,,,,,,,,
2852,156700976,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=CC(=CC=C4)Cl,25,,,,,,,x,,,,,,,,,,,,,,,,,,
2853,156700977,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=CC(=C(C=C4)F)F,"35,4",,,,,,,x,,,,,,,,,,,,,,,,,,
2854,156700979,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=C(C=C(C=C4)F)F,"133,1",,,,,,,x,,,,,,,,,,,,,,,,,,
2855,156700980,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=CC=C(C=C4)Cl,87,,,,,,,x,,,,,,,,,,,,,,,,,,
2856,156700981,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=CC(=C(C=C4)Cl)Cl,3,,,,,,,x,,,,,,,,,,,,,,,,,,
2857,156700982,C1=CC=C(C(=C1)C(CN2C=CN=C2)OCC3=NC4=CC=CC=C4S3)Cl,"59,6",,,,,,,x,,,,,,,,,,,,,,,,,,
2858,156771179,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N3C=C(N=N3)COCCOCCOCCN4C5=CC=CC=C5C(=C4O)C6=NC7=CC=CC=C7C6=O,"54,7",,,,,,,,x,,,,,,,,,,x,,,,x,,,
2859,156905931,C1CC(NC(=O)C1)CSC2=NON=C2C(=N[C@H]3CC4=C3C=C(C=C4)F)NO,"0,085",,,,,,,,,,,,,,,,,,,,,,,,,x
2860,156905932,C1CC(NC(=O)C1)CSC2=NON=C2C(=N[C@@H]3CC4=C3C=C(C=C4)F)NO,"1,884",,,,,,,,,,,,,,,,,,,,,,,,,x
2861,156905933,C1CC(NC(=O)C1)CSC2=NON=C2C(=NC3CCC4=C3C=C(C=C4)F)NO,"0,141",,,,,,,,,,,,,,,,,,,,,,,,,x
2862,156905934,CC1CC(NC(=O)C1)CSC2=NON=C2C(=NC3CCC4=C3C=C(C=C4)F)NO,"0,106",,,,,,,,,,,,,,,,,,,,,,,,,x
2863,156905935,C1CC(NC(=O)C1)CNC2=NON=C2C(=NC3CCC4=C3C=C(C=C4)F)NO,"6,247",,,,,,,,,,,,,,,,,,,,,,,,,x
2864,156905936,CC1CC(NC(=O)C1)CNC2=NON=C2C(=NC3CCC4=C3C=C(C=C4)F)NO,"1,837",,,,,,,,,,,,,,,,,,,,,,,,,x
2865,156905937,C1[C@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3SC[C@@H](CNS(=O)(=O)N)O)NO,"0,0629",,,,,,,,,,,,,,,,,,,,,,,,,x
2866,156905938,B1(C2=C(CCO1)C=CC=C2C(=O)NCCNC3=NON=C3C(=NC4CC5=C4C=C(C=C5)F)NO)O,"0,138",,,,,,,,,,,,,,,,,,,,,,,,,x
2867,162370647,C1C(CC2C(C1CC(=O)NC3=CC=C(C=C3)C#N)CNN2)Cl,"0,875",,,,,,,,,,,,,,,,,,,,,,,,,x
2868,162466516,C[C@H](C1CCC(CC1)C2=C3C=C(C=CC3=NC=C2)F)C4=NC5=C(N4)C=C(C=N5)Cl,"0,015",,,,,,,x,,,,,,x,,,,,,,,,,,,
2869,162506984,CC1=NC=CC(=N1)N2[C@H]3C[C@H]3C4=C2C=CC(=C4)C5(CC5)NC(=O)C6=CC=C(C=C6)F,"0,0082",,,,,,,,,,,,,,,,,,,,,,,,,x
2870,162506993,CC1=NC=CC(=N1)N2[C@@H]3C[C@@H]3C4=C2C=CC(=C4)C5(CC5)NC(=O)C6=CC=C(C=C6)F,"0,18",,,,,,,,,,,,,,,,,,,,,,,,,x
2871,162640820,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)NCCOCCOCCOCCOCCOCCOCCOCCNCCNC4=NON=C4C(=NC5=CC(=C(C=C5)F)Br)NO,"1,07",,,,,,,,,,,,,,,,,,,,,,,,,x
2872,162642976,COC1=CC(=CC(=C1)SC2=CNC3=C2C(=CC=C3)Cl)OC,52,,,,,,,,x,,,,,,,,,,,,,,x,,,
2873,162643137,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=CC=C(C=C4)F,"73,6",,,,,,,x,,,,,,,,,,,,,,,,,,
2874,162643533,CC(C)CC(=O)N1CCCC2=C1N=CC(=C2)CNC(=O)C3=CC=C(C=C3)Cl,"1,277",,,,,,,,,,,,,,,,,,,,,,,,,x
2875,162643852,C1=CC(=C(C=C1NC2=CC(=CC3=C2C=C(N3)C(=O)O)[N+](=O)[O-])Cl)F,100,,,,,,,,x,,,,,,,,,,,,,,x,,,
2876,162644040,C[C@H](C1=NC=C2C(=C1)CCCN2C(=O)C3=CC(=CC=C3)Cl)NC(=O)C4=CC=C(C=C4)Cl,"0,0078",,,,,,,,,,,,,,,,,,,,,,,,,x
2877,162644091,C1=CC(=C2C(=C1NC3=C4C=C(NC4=C(C=C3)F)C(=O)O)C=C(N2)C(=O)O)F,"2,72",,,,,,,,x,,,,,,,,,,,,,,x,,,
2878,162644107,C1=CC(=C(C=C1CC(=NC2=CC=C(C3=NON=C23)[N+](=O)[O-])NO)Cl)Cl,"0,05433333333",,,,,,,,,,,,,,,,,,,,,,,,,x
2879,162644781,C1=COC(=C1)C(=O)C(=NC2=CC(=C(C=C2)F)Br)NO,"1,072",,,,,x,,,,,,,,,,,,,,,,,,,,
2880,162645144,CC(C)(C)OC(=O)NCCSC(=O)SCC1=CC=CC=C1,10,,,,,,,,,,,,,,,,,,,,,,,,,x
2881,162645485,C1=CC=C(C=C1)CSC(=O)OCC(C(=O)O)N.Cl,"4,2",,,,,,,,,,,,,,,,,,,,,,,,,x
2882,162645583,COC1=CC=CC=C1S(=O)(=O)C2=CNC3=C2C=C(C=C3)Cl,200,,,,,,,,x,,,,,,,,,,,,,,x,,,
2883,162645919,C1=CC(=C(C=C1NC2=C3C=C(NC3=C(C=C2)F)CO)Cl)F,100,,,,,,,,x,,,,,,,,,,,,,,x,,,
2884,162646004,C1=CC=C(C(=C1)C(=NC2=CC=C(C3=NON=C23)[N+](=O)[O-])NO)F,"0,08333333333",,,,,,,,,,,,,,,,,,,,,,,,,x
2885,162646443,CC(=O)NC1=CC2=C(C=C(N2)C(=O)O)C(=C1)NC3=CN=C(C=C3)F,"38,5",,,,,,,,x,,,,,,,,,,,,,,x,,,
2886,162646690,C1CN(CCC12COC3=C2C=CC(=C3)C(F)(F)F)CC(=O)NC4=CC=C(C=C4)Cl,"0,26",,,,,,,,,,,,,,,,,,,,,,,,,x
2887,162647012,C1=CC(=C(C=C1F)F)CC(=NC2=CC=C(C3=NON=C23)[N+](=O)[O-])NO,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,x
2888,162647027,CC(=O)NC1=CC2=C(C=C(N2)C(=O)O)C(=C1)NC3=CC(=C(C=C3)F)C4=CSC=C4,"3,89",,,,,,,,x,,,,,,,,,x,,,,,x,,,
2889,162647604,CCC(C1CCC(CC1)C2=C3C=C(C=C(C3=NC=C2)F)F)NC4=NN=C(O4)C5=CC=C(C=C5)OC,"0,0085",,,,,,,,,,,,,x,,,,,,,,,,,,
2890,162647809,C[C@H](C1=CC2=C(C=C1)N(CCO2)C(=O)C3=CC(=CC=C3)Cl)NC(=O)C4=CC=C(C=C4)Cl,"0,003",,,,,,,,,,,,,,,,,,,,,,,,,x
2891,162648046,CC1=C(C=CC(=C1)NC2=CC(=CC3=C2C=C(N3)C(=O)O)NC(=O)C)F,"1,83",,,,,,,,x,,,,,,,,,,,,,,x,,,
2892,162648238,COC1=CC=C(C=C1)SC2=CNC3=C2C=C(C=C3)Cl,16,,,,,,,,x,,,,,,,,,,,,,,x,,,
2893,162648375,COC1=C(C=C(C=C1)NC2=C3C=C(NC3=C(C=C2)F)C(=O)O)Cl,100,,,,,,,,x,,,,,,,,,,,,,,x,,,
2894,162648538,C1[C@@H](N2C(=CC(=C2Br)Br)C(=S)N1)CC(=O)O,92,,,,,,,,,,,,,,,,,,,,,,,,,x
2895,162648601,C[C@H](C1=NC2=C(C=C1)N(CCC2)C(=O)C3=CC(=CC=C3)Cl)NC(=O)C4=CC=C(C=C4)F,"0,026",,,,,,,,,,,,,,,,,,,,,,,,,x
2896,162648620,C1=CC(=C(C=C1NC2=C3C=C(NC3=C(C=C2)F)C(=O)NO)Cl)F,100,,,,,,,,x,,,,,,,,,,,,,,x,,,
2897,162648688,CC(=O)NC1=CC2=C(C=C(N2)C(=O)O)C(=C1)NC3=CC(=C(C=C3)F)OCC(F)(F)F,"4,62",,,,,,,,x,,,,,,,,,,,,,,x,,,
2898,162648946,C1=CC(=C(C=C1Cl)Cl)CSC(=O)SCCO,"0,35",,,,,,,,,,,,,,,,,,,,,,,,,x
2899,162648986,CC(=O)NC1=CC(=C2C=C(SC2=C1)C(=O)O)NC3=CC(=C(C=C3)F)Cl,100,,,,,,,,,,,,,,,,,x,,,,,,,,
2900,162649246,C[C@H](C1=NC2=C(C=C1)N(CCC2)C(=O)OC)NC(=O)C3=CC=C(C=C3)F,"0,022",,,,,,,,,,,,,,,,,,,,,,,,,x
2901,162649255,CC(C)(C)OC(=O)NCCSC(=O)SCC1=C(C=C(C=C1)Cl)Cl,"1,35",,,,,,,,,,,,,,,,,,,,,,,,,x
2902,162649405,C1=CC(=C(C=C1NC2=C3C=C(NC3=C(C=C2)F)/C(=N/O)/N)Cl)F,100,,,,,,,,x,,,,,,,,,,,,,,x,,,
2903,162649592,C[C@H](C1=NC2=C(C=C1)N(CCC2)C(=O)OC3CC3)NC(=O)C4=CC=C(C=C4)F,"0,127",,,,,,,,,,,,,,,,,,,,,,,,,x
2904,162649651,C1=CC(=CC=C1CCSC(=O)SCC2=C(C=C(C=C2)Cl)Cl)CO,"0,195",,,,,,,,,,,,,,,,,,,,,,,,,x
2905,162649722,CC1=CC(=CC=C1)SC2=CNC3=C2C=C(C=C3)Cl,100,,,,,,,,x,,,,,,,,,,,,,,x,,,
2906,162649817,COC1=CC(=C(C=C1)SC2=CNC3=C2C=C(C=C3)Cl)OC,50,,,,,,,,x,,,,,,,,,,,,,,x,,,
2907,162650001,C1=CC=C(C(=C1)CC(=NC2=CC=C(C3=NON=C23)[N+](=O)[O-])NO)F,"0,1026666667",,,,,,,,,,,,,,,,,,,,,,,,,x
2908,162650258,C1=CC(=CC=C1CC(=NC2=CC=C(C3=NON=C23)[N+](=O)[O-])NO)F,"0,1073333333",,,,,,,,,,,,,,,,,,,,,,,,,x
2909,162650363,C[C@H](C1CCC(CC1)C2=C3C=C(C=CC3=NC=C2)F)NC(=O)C4=CC(=C(C=C4)OC)N5CCOCC5,"0,021",,,,,,,,,,,,,x,,,,,,,,,,,,
2910,162650443,C1CN(CCC1C(=O)C(=NC2=CC(=C(C=C2)F)Br)NO)S(=O)(=O)NC3=CC=CC=C3,"0,124",,,,,,,,,,,,,,,,,,,,,,,,,x
2911,162650496,C1=CC(=C(C=C1CC(=O)NC2=C3C=C(NC3=C(C=C2)F)C(=O)O)Cl)F,100,,,,,,,,x,,,,,,,,,,,,,,x,,,
2912,162650576,CCN=C1C=C(C2=C(C1=O)NC(=C2)C(=O)O)NC3=CC(=C(C=C3)F)Cl,"0,018",,,,,,,,,,,,,,,,,,,,,,,,,x
2913,162650772,CN1C(=CC2=C(C=CC(=C21)F)NC3=CC(=C(C=C3)F)Cl)C(=O)O,100,,,,,,,,x,,,,,,,,,,,,,,x,,,
2914,162650851,CSC(=NC#N)SCC1=C(C=C(C=C1)Cl)Cl,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,x
2915,162651047,CC1(C2=C(C=CC1=O)C3=C(C=C2)C4=C(C(=CO4)CO)C(=O)C3=O)C,"3,205",,,,,x,,,,,,,,,,,,,,,,,,,,
2916,162651056,C1=CC(=C(C=C1NC2=CC(=CC3=C2C=C(N3)C(=O)O)C#N)Cl)F,100,,,,,,,,x,,,,,,,,,,,,,,x,,,
2917,162651191,C1=CC(=C(C=C1C2=NNN=C2C(=O)N)F)F,"0,11",,,,,,,,,,,,,,,,,,x,,,,,,,
2918,162651259,CC[C@@H](C(=O)NC1=CC=C(C=C1)Cl)N2CCC3(CC2)COC4=C3C=CC(=C4)C(F)(F)F,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,x
2919,162651400,CC(=O)NC1=CC2=C(C=C(N2)C(=O)O)C(=C1)NC3=CC(=C(C(=C3)OC)OC)OC,"3,18",,,,,,,,x,,,,,,,,,,,,,,x,,,
2920,162651460,C1=CC(=CC=C1C(=NC2=CC=C(C3=NON=C23)[N+](=O)[O-])NO)Br,"0,117",,,,,,,,,,,,,,,,,,,,,,,,,x
2921,162651892,C[C@H](C1=NC2=C(C=C1)N(CCC2)C3=NC=CC=N3)NC(=O)C4=CC=C(C=C4)F,"0,024",,,,,,,,,,,,,,,,,,,,,,,,,x
2922,162652720,COC1=CC2=C(C=C(N2)C(=O)O)C(=C1)NC3=CC(=C(C=C3)F)Cl,100,,,,,,,,x,,,,,,,,,,,,,,x,,,
2923,162652759,CC(=O)NC1=CC2=C(C=C(N2)C(=O)O)C(=C1)NC3=CC=C(C=C3)F,"5,28",,,,,,,,x,,,,,,,,,,,,,,x,,,
2924,162652883,COC1=CC(=C(C=C1)C(=O)O)NC2=C3C=C(NC3=C(C=C2)F)C(=O)O,100,,,,,,,,x,,,,,,,,,,,,,,x,,,
2925,162653019,C1CN(CCC1C(=O)C(=NC2=CC(=C(C=C2)F)Br)NO)S(=O)(=O)NCC3=CC=CC=C3,"0,262",,,,,,,,,,,,,,,,,,,,,,,,,x
2926,162653205,C1=CC(=CC=C1CC(=NC2=CC=C(C3=NON=C23)[N+](=O)[O-])NO)Cl,"0,105",,,,,,,,,,,,,,,,,,,,,,,,,x
2927,162653210,C1=CC(=C(C=C1Br)NC2=C3C=C(NC3=C(C=C2)F)C(=O)O)F,"28,1",,,,,,,,x,,,,,,,,,,,,,,x,,,
2928,162653359,C1=CC(=C(C=C1CNC2=C3C=C(NC3=C(C=C2)F)C(=O)O)Cl)F,100,,,,,,,,x,,,,,,,,,,,,,,x,,,
2929,162654036,C1=CC=C(C=C1)C(=NC2=CC=C(C3=NON=C23)[N+](=O)[O-])NO,"0,268",,,,,,,,,,,,,,,,,,,,,,,,,x
2930,162654144,CC1=C(C2=C(N1)C=CC(=C2)Cl)SC3=CC(=CC(=C3)OC)OC,45,,,,,,,,x,,,,,,,,,,,,,,x,,,
2931,162654316,C1=CC(=C(C=C1SC2=C3C=C(NC3=C(C=C2)F)C(=O)O)Cl)F,100,,,,,,,,x,,,,,,,,,,,,,,x,,,
