STT,CID,SMILES,IC50 (uM),Substructure,"1,3-diphenylurea",1H-indazole,Beta-carboline,Dihydropyridine,Furan,"Imidazo(2,1-b)thiazole",Imidazole,Indole,Isoquinoline,"Naphtho(2,3-d)imidazole-4,9-dione","Naphtho(2,3-d)thiazole-4,9-dione",Naphthoquinone,Quinoline,Quinone,Quinoxaline,Thiohydantoin,Thiophene,Triazole,Tryptophan,"1H-indole-4,7-dione","5H-imidazo(5,1-a)isoindole",Brassinin,Tryptanthrin,"3-(1H-indol-3-yl)pyrrolidine-2,5-dione",Other
2736,155569140,CC1=CC=CC=C1NC(=O)NC2=C(C=CC(=C2)C3=C(OC(=C3C(=O)O)C)C)N(C)C4CCCCC4,0.258,"1,3-diphenylurea",x,,,,x,,,,,,,,,,,,,,,,,,,,
2737,155569235,CC1=C(C(=C(O1)C)C(=O)O)C2=CC(=C(C=C2)N(CC(C)C)C3CCCCC3)NC4=NN=C(S4)C,0.00585,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2738,155622517,CC1=CC2=C(C=C1)N=C(N2)CC3CCC(CC3)C4=CC5=CC=CC=C5N=C4,10,Imidazole,,,,,,,x,,,,,,x,,,,,,,,,,,,
2739,155622524,CC1=CC2=C(C=C1)N=C(N2)CC3CCC(CC3)C4=NC5=CC=CC=C5C=C4,5.3,Imidazole,,,,,,,x,,,,,,x,,,,,,,,,,,,
2740,155739020,C[C@@H](C1=NC2=C(C=C1)N(CCC2)C(=O)OC3CC3)C4=NC5=C(N4)C=C(C=C5)Cl,0.0009819,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
2741,155739023,C1CC2=C(C=CC(=N2)C3(CCC3)C4=NC5=C(N4)C=C(C=N5)C(F)(F)F)N(C1)C(=O)C6=CC=CC=C6Cl,0.0009583,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
2742,156009086,C1CC[C@@H]([C@H](C1)CNC2=CC(=CC3=C2C=NN3)Br)O,2.85,1H-indazole,,x,,,,,,,,,,,,,,,,,,,,,,,
2743,156009088,C1CC[C@H]([C@@H](C1)CNC2=C(C=CC3=C2C=NN3)Br)O,1.23,1H-indazole,,x,,,,,,,,,,,,,,,,,,,,,,,
2744,156009089,C1CC[C@@H]([C@@H](C1)CNC2=CC(=CC3=C2C=NN3)Br)Cl,0.29,1H-indazole,,x,,,,,,,,,,,,,,,,,,,,,,,
2745,156009556,CCN(CC)CCC1=CNC2=C1C(=O)C(=CC2=O)C3=CN=CC=C3,2.26,"1H-indole-4,7-dione",,,,,,,,,,,,,,,,,,,,x,,,,,
2746,156009581,CC(C)(C)CNCCC1=CNC2=C1C(=O)C(=CC2=O)C3=CN=CC=C3,0.56,"1H-indole-4,7-dione",,,,,,,,,,,,,,,,,,,,x,,,,,
2747,156009699,CC(C)(C)OC(=O)NCCC1=CNC2=C1C(=O)C(=CC2=O)C3=CC=CC=C3F,2.09,"1H-indole-4,7-dione",,,,,,,,,,,,,,,,,,,,x,,,,,
2748,156010065,CCCNC(=O)C1(CCC1)C2=CC=C(C=C2)NC(=O)C3=C(ON=C3)C,10,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2749,156011115,C1CC(CN(C1)CC2=CC3=C(C=C2)N=C4C(=O)C5=C(N4C3=O)C=CC(=C5)F)C(=O)O,1.205,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
2750,156011330,CC(C)NCCC1=CNC2=C1C(=O)C(=CC2=O)C3=CN=CC=C3,0.51,"1H-indole-4,7-dione",,,,,,,,,,,,,,,,,,,,x,,,,,
2751,156011729,C[C@H](C(=O)NC1=CN=C(C=C1)Cl)C23CC(C2)(C3)NC(=O)C4=CC(=CC=C4)Cl,0.174,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2752,156012327,CCCNC(=O)C1(CCC1)C2=CC=C(C=C2)NC(=O)C3=CN(N=N3)C,3.8,Triazole,,,,,,,,,,,,,,,,,,x,,,,,,,
2753,156012957,CC(C)(C)OC(=O)NCCC1=CNC2=C1C(=O)C(=CC2=O)C3=CC=CC=C3,2.94,"1H-indole-4,7-dione",,,,,,,,,,,,,,,,,,,,x,,,,,
2754,156013010,CN(C)CCC1=CNC2=C1C(=O)C(=CC2=O)C3=CN=CC=C3,0.5,"1H-indole-4,7-dione",,,,,,,,,,,,,,,,,,,,x,,,,,
2755,156013120,C[C@H](C(=O)NC1=CC=C(C=C1)F)C23CC(C2)(C3)NC(=O)OC4CCCC4,0.154,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2756,156014359,B(C1=CC2=C(C=C1)N=C3C(=O)C4=C(N3C2=O)C=CC(=C4)F)(O)O,1.01,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
2757,156014374,C1=CC=C(C=C1)C(=O)NCCC2=CNC3=C2C(=O)C(=CC3=O)C4=CN=CC=C4,2.08,"1H-indole-4,7-dione",,,,,,,,,,,,,,,,,,,,x,,,,,
2758,156014718,C1=CC=C(C=C1)CCNCCC2=CNC3=C2C(=O)C(=CC3=O)C4=CN=CC=C4,4,"1H-indole-4,7-dione",,,,,,,,,,,,,,,,,,,,x,,,,,
2759,156015196,CCNCCC1=CNC2=C1C(=O)C(=CC2=O)C3=CN=CC=C3,0.16,"1H-indole-4,7-dione",,,,,,,,,,,,,,,,,,,,x,,,,,
2760,156015624,C1CCC(CC1)NCCC2=CNC3=C2C(=O)C(=CC3=O)C4=CN=CC=C4,1.5,"1H-indole-4,7-dione",,,,,,,,,,,,,,,,,,,,x,,,,,
2761,156016417,C[C@H](C(=O)NC1=CC=C(C=C1)F)C23CC(C2)(C3)NC4=NC=NC5=CC=CC=C54,0.443,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2762,156016895,C1=CC2=C(C=C1C=O)C(=O)N3C4=C(C=C(C=C4)F)C(=O)C3=N2,0.31,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
2763,156017054,CCCCNCCC1=CNC2=C1C(=O)C(=CC2=O)C3=CN=CC=C3,0.88,"1H-indole-4,7-dione",,,,,,,,,,,,,,,,,,,,x,,,,,
2764,156017421,C[C@H](C(=O)NC1=CC=C(C=C1)Cl)C23CC(C2)(C3)NC(=O)C4=CC(=CC=C4)Cl,0.137,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2765,156018002,COC(=O)C1CCCN(C1)CC2=CC3=C(C=C2)N=C4C(=O)C5=C(N4C3=O)C=CC(=C5)F,0.9,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
2766,156018037,C[C@H](C(=O)NC1=CC=C(C=C1)F)C23CC(C2)(C3)NC(=O)C4=CC(=C(C=C4)F)F,0.036,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2767,156018412,CC(C)(C)C(=O)NCCC1=CNC2=C1C(=O)C(=CC2=O)C3=CN=CC=C3,0.77,"1H-indole-4,7-dione",,,,,,,,,,,,,,,,,,,,x,,,,,
2768,156018588,C1=CC2=C(C=C1CN3C=CN=N3)C(=O)N4C5=C(C=C(C=C5)F)C(=O)C4=N2,0.43,Triazole,,,,,,,,,,,,,,,,,,x,,,,,x,,
2769,156018669,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)N=C4C(=O)C5=C(N4C3=O)C=CC(=C5)F,13.09,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
2770,156018783,CC(C)(C)OC(=O)NCCC1=CNC2=C1C(=O)C(=CC2=O)C3=CC=CC=C3OC,2.38,"1H-indole-4,7-dione",,,,,,,,,,,,,,,,,,,,x,,,,,
2771,156019045,C1=CC=C(C=C1)S(=O)(=O)NCCC2=CNC3=C2C(=O)C(=CC3=O)C4=CN=CC=C4,3.51,"1H-indole-4,7-dione",,,,,,,,,,,,,,,,,,,,x,,,,,
2772,156019215,C1=CC2=C(C=C1/C=C/C(=O)O)C(=O)N3C4=C(C=C(C=C4)F)C(=O)C3=N2,0.09,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
2773,156019300,COC(=O)C1CCCN1CC2=CC3=C(C=C2)N=C4C(=O)C5=C(N4C3=O)C=CC(=C5)F,0.58,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
2774,156019378,C1=CC(=CN=C1)C2=CC(=O)C3=C(C2=O)C(=CN3)CCN,0.51,"1H-indole-4,7-dione",,,,,,,,,,,,,,,,,,,,x,,,,,
2775,156019778,COC(=O)C1CCN(CC1)CC2=CC3=C(C=C2)N=C4C(=O)C5=C(N4C3=O)C=CC(=C5)F,0.675,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
2776,156020470,C1CC(N(C1)CC2=CC3=C(C=C2)N=C4C(=O)C5=C(N4C3=O)C=CC(=C5)F)C(=O)O,2.155,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
2777,156020553,C1CN(CCC1C(=O)O)CC2=CC3=C(C=C2)N=C4C(=O)C5=C(N4C3=O)C=CC(=C5)F,1.79,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
2778,156020691,C[C@H](C(=O)NC1=CC=C(C=C1)F)C23CC(C2)(C3)NC(=O)OC(C)C,0.02,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2779,156020984,CC(=O)NCCC1=CNC2=C1C(=O)C(=CC2=O)C3=CN=CC=C3,1.36,"1H-indole-4,7-dione",,,,,,,,,,,,,,,,,,,,x,,,,,
2780,156021331,CC(C)(C)OC(=O)NCCC1=CNC2=C1C(=O)C(=CC2=O)C3=CN=CC=C3,1.9,"1H-indole-4,7-dione",,,,,,,,,,,,,,,,,,,,x,,,,,
2781,156021414,CCOC(=O)/C=C/C1=CC2=C(C=C1)N=C3C(=O)C4=C(N3C2=O)C=CC(=C4)F,0.105,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
2782,156021674,C[C@H](C(=O)NC1=CC=C(C=C1)F)C23CC(C2)(C3)NC4=NC=NC5=C4C=C(C=C5)F,0.276,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2783,156022739,C1CC[C@H]([C@@H](C1)CNC2=CC(=CC3=C2C=NN3)Br)O,0.64,1H-indazole,,x,,,,,,,,,,,,,,,,,,,,,,,
2784,156207545,CN(C(=O)CC1=CC=CC=C1)NC2=NON=C2C(=NC3=CC(=C(C=C3)F)Cl)NO,0.082,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2785,156267232,C1CC(CC(C1)CNS(=O)(=O)N)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,0.072,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2786,156267894,C1CC(CC(C1)NS(=O)(=O)N)CCNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,0.06,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2787,156267931,C1CC(CC1CNS(=O)(=O)N)NC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,0.006,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2788,156267972,C1CC(CCC1CCNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N)CCNS(=O)(=O)N,0.051,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2789,156327014,CC[C@@H](C1CCC2(CC1)COC3=C2C=CC(=C3)C(F)(F)F)C(=O)NC4=NC=C(C=C4)Cl,0.32,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2790,156506781,CN1C=NC=C1C2=CC(=CC=C2)Cl,12.9,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
2791,156514299,CC(C1[C@H]2[C@@H]1CC(C2)OC3=C4C=C(C=CC4=NC=C3)F)C(=O)NC5=CN(N=C5)C(F)F,0.002,Quinoline,,,,,,,,,,,,,x,,,,,,,,,,,,
2792,156514304,CCC(C1[C@H]2[C@@H]1CC(C2)OC3=C4C=C(C=CC4=NC=C3)F)C(=O)NC5=CN(N=C5)C(F)F,0.00097,Quinoline,,,,,,,,,,,,,x,,,,,,,,,,,,
2793,156541874,CC(C1[C@H]2[C@@H]1CC(C2)N3C=NC4=CC(=C(C=C43)F)F)C(=O)NC5=CN(N=C5)C(F)F,0.014,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
2794,156541893,CC(C1[C@H]2[C@@H]1CC(C2)OC3=C4C=C(C=CC4=NC=C3)F)C(=O)NC5=CN(C=C5)C(F)(F)F,0.0037,Quinoline,,,,,,,,,,,,,x,,,,,,,,,,,,
2795,156596234,C[S@](=N)(=O)C1CC(C1)NC2=NON=C2C(=N[C@@H]3CC4=C3C=C(C=C4)F)NO,0.0567,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2796,156596235,CON=[S@@](=O)(C)CCNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.0449,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2797,156596236,CON=[S@](=O)(C)CCNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.0472,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2798,156653456,COC1=CC(=CC(=C1)N=C(C2=CC3=C(C=C2)OC4=CC=CC=C43)NO)OC,30,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2799,156653457,CC(=O)C1=CC(=CC=C1)N=C(C2=CC3=C(C=C2)OC=C3)NO,30,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2800,156653458,C1=CC(=CC(=C1)Br)N=C(C2=CC3=C(C=C2)OC(=C3)CO)NO,0.955,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2801,156653459,C1=CSC(=C1)CN=C(C2=CC3=C(C=C2)OC=C3)NO,23.1,Furan,,,,,x,,,,,,,,,,,,x,,,,,,,,
2802,156653460,C1=COC(=C1)CN=C(C2=CC3=C(C=C2)OC=C3)NO,30,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2803,156653461,C1=CC2=C(C=CO2)C=C1C(=NC3=CC(=C(C=C3)F)F)NO,18.35,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2804,156653462,C1=CC(=CC(=C1)Cl)N=C(C2=CC3=C(C=C2)OC(=C3)CO)NO,6.95,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2805,156653463,C1CC1CN=C(C2=CC3=C(C=C2)OC=C3)NO,30,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2806,156653464,C1=CC=C(C=C1)C2=CC3=C(O2)C=CC(=C3)C(=NC4=CC(=CC=C4)Br)NO,4.75,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2807,156653465,C1=CC2=C(C=CO2)C=C1C(=NC3=CC(=C(C=C3)Cl)F)NO,20.15,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2808,156653466,C1=CC=C2C(=C1)C3=C(O2)C=CC(=C3)C(=NCC4=CC(=CC=C4)Cl)NO,16.6,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2809,156653468,C1=CC(=CC(=C1)Br)N=C(C2=CC3=C(C=C2)OC=C3)NO,0.77,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2810,156653469,CC1=C(C=C(C=C1)N=C(C2=CC3=C(C=C2)OC=C3)NO)C,30,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2811,156653470,C1=CC2=C(C=CO2)C=C1C(=NC3=CC(=C(C=C3)F)Br)NO,2.1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2812,156653471,C1CCC(CC1)CNC(=O)C2=CC(=CC=C2)N=C(C3=CC4=C(C=C3)OC=C4)NO,30,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2813,156653472,C1=CC(=C(C=C1CN=C(C2=CC3=C(C=C2)OC=C3)NO)Cl)F,19.8,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2814,156653473,C1=CC(=CC(=C1)Cl)CN=C(C2=CC3=C(C=C2)OC=C3)NO,17.9,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2815,156653474,COCC1=CC2=C(O1)C=CC(=C2)C(=NC3=CC(=CC=C3)Cl)NO,1.6,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2816,156653476,COCC1=CC2=C(O1)C=CC(=C2)C(=NC3=CC(=CC=C3)Br)NO,1.715,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2817,156653479,C1=CC=C(C=C1)OC2=CC=CC(=C2)N=C(C3=CC4=C(C=C3)OC=C4)NO,30,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2818,156653480,C1=CC(=CC(=C1)F)N=C(C2=CC3=C(C=C2)OC=C3)NO,26.35,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2819,156653481,CCCCOC1=CC=CC(=C1)N=C(C2=CC3=C(C=C2)OC=C3)NO,30,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2820,156653483,CC1CCN(CC1)C(=O)C2=CC(=CC=C2)N=C(C3=CC4=C(C=C3)OC=C4)NO,30,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2821,156653484,C1=CC=C2C(=C1)C3=C(O2)C=CC(=C3)C(=NC4=CC(=CC=C4)Cl)NO,4.7,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2822,156653485,C1=CC=C2C(=C1)C3=C(O2)C=CC(=C3)C(=NC4=CC(=C(C=C4)F)Br)NO,9.3,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2823,156653487,C1=CC=C(C=C1)CNC(=O)C2=CC(=CC=C2)N=C(C3=CC4=C(C=C3)OC=C4)NO,30,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2824,156653489,C1=CC=C(C=C1)C2=CC3=C(O2)C=CC(=C3)C(=NC4=CC(=CC=C4)Cl)NO,10.8,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2825,156653490,C1=CC2=C(C=CO2)C=C1C(=NC3=CC(=C(C=C3)F)C(F)(F)F)NO,1.7,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2826,156653492,C1CC1COCC2=CC3=C(O2)C=CC(=C3)C(=NC4=CC(=CC=C4)F)NO,5.1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2827,156653493,C1=CC(=CC(=C1)Cl)N=C(C2=CC3=C(C=C2)OC=C3)NO,1.095,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2828,156653494,C1=CC=C2C(=C1)C3=C(O2)C=CC(=C3)C(=NC4=CC(=CC=C4)Br)NO,6.05,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2829,156653496,C1=CC(=CC(=C1)N=C(C2=CC3=C(C=C2)OC=C3)NO)C(F)(F)F,1.55,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2830,156653498,C1=CC=C2C(=C1)C3=C(O2)C=CC(=C3)C(=NC4=CC(=C(C=C4)F)Cl)NO,16.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2831,156653499,C1=CC=C(C=C1)C2=CC3=C(O2)C=CC(=C3)C(=NC4=CC(=CC=C4)F)NO,10.8,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2832,156653500,C1=CC=C(C=C1)N=C(C2=CC3=C(C=C2)OC=C3)NO,24.5,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2833,156653502,C1=CC=C(C=C1)CN=C(C2=CC3=C(C=C2)OC=C3)NO,29.1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2834,156653504,C1=CC=C(C=C1)CC2=CC(=CC=C2)N=C(C3=CC4=C(C=C3)OC=C4)NO,30,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2835,156653505,C1=CC=C(C=C1)OCC2=CC(=CC=C2)N=C(C3=CC4=C(C=C3)OC=C4)NO,30,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2836,156653506,C1=CC=C(C=C1)C2=CC(=CC=C2)N=C(C3=CC4=C(C=C3)OC=C4)NO,11.45,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2837,156653507,C1CC1COCC2=CC3=C(O2)C=CC(=C3)C(=NC4=CC(=CC=C4)Br)NO,1.8,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2838,156653508,C1=CC(=CC(=C1)F)N=C(C2=CC3=C(C=C2)OC(=C3)CO)NO,2.05,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2839,156653511,C1=CC(=CC=C1N=C(C2=CC3=C(C=C2)OC=C3)NO)Cl,30,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2840,156653512,C1=CC2=C(C=CO2)C=C1C(=NC3=CC(=C(C=C3)F)Cl)NO,3.5,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2841,156653513,COCC1=CC2=C(O1)C=CC(=C2)C(=NC3=CC(=CC=C3)F)NO,6.6,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
2842,156673320,C1CC(CCC1CNS(=O)(=O)N)NC2=NON=C2C3=NOC(=O)N3C4=CC(=C(C=C4)F)Br,0.016,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2843,156675035,C1CC(CC(C1)CCNS(=O)(=O)N)CCNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.063,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2844,156675036,C1CC(CC(C1)CNS(=O)(=O)N)CCNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,0.108,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2845,156675043,C1CC(CC1CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)NS(=O)(=O)N,0.012,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2846,156675046,C1CC(CC(C1)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N)CCNS(=O)(=O)N,0.083,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2847,156700969,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=CC(=CC=C4)Br,3.7,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
2848,156700972,C1=CC=C2C(=C1)N=C(O2)COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,136.1,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
2849,156700973,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=CC=C(C=C4)Br,49.3,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
2850,156700974,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,6.7,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
2851,156700975,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=CC(=C(C=C4)Cl)F,57.7,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
2852,156700976,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=CC(=CC=C4)Cl,25,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
2853,156700977,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=CC(=C(C=C4)F)F,35.4,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
2854,156700979,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=C(C=C(C=C4)F)F,133.1,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
2855,156700980,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=CC=C(C=C4)Cl,87,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
2856,156700981,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=CC(=C(C=C4)Cl)Cl,3,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
2857,156700982,C1=CC=C(C(=C1)C(CN2C=CN=C2)OCC3=NC4=CC=CC=C4S3)Cl,59.6,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
2858,156771179,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N3C=C(N=N3)COCCOCCOCCN4C5=CC=CC=C5C(=C4O)C6=NC7=CC=CC=C7C6=O,54.7,Indole,,,,,,,,x,,,,,,,,,,x,,,,x,,,
2859,156905931,C1CC(NC(=O)C1)CSC2=NON=C2C(=N[C@H]3CC4=C3C=C(C=C4)F)NO,0.085,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2860,156905932,C1CC(NC(=O)C1)CSC2=NON=C2C(=N[C@@H]3CC4=C3C=C(C=C4)F)NO,1.884,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2861,156905933,C1CC(NC(=O)C1)CSC2=NON=C2C(=NC3CCC4=C3C=C(C=C4)F)NO,0.141,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2862,156905934,CC1CC(NC(=O)C1)CSC2=NON=C2C(=NC3CCC4=C3C=C(C=C4)F)NO,0.106,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2863,156905935,C1CC(NC(=O)C1)CNC2=NON=C2C(=NC3CCC4=C3C=C(C=C4)F)NO,6.247,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2864,156905936,CC1CC(NC(=O)C1)CNC2=NON=C2C(=NC3CCC4=C3C=C(C=C4)F)NO,1.837,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2865,156905937,C1[C@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3SC[C@@H](CNS(=O)(=O)N)O)NO,0.0629,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2866,156905938,B1(C2=C(CCO1)C=CC=C2C(=O)NCCNC3=NON=C3C(=NC4CC5=C4C=C(C=C5)F)NO)O,0.138,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2867,162370647,C1C(CC2C(C1CC(=O)NC3=CC=C(C=C3)C#N)CNN2)Cl,0.875,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2868,162466516,C[C@H](C1CCC(CC1)C2=C3C=C(C=CC3=NC=C2)F)C4=NC5=C(N4)C=C(C=N5)Cl,0.015,Imidazole,,,,,,,x,,,,,,x,,,,,,,,,,,,
2869,162506984,CC1=NC=CC(=N1)N2[C@H]3C[C@H]3C4=C2C=CC(=C4)C5(CC5)NC(=O)C6=CC=C(C=C6)F,0.0082,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2870,162506993,CC1=NC=CC(=N1)N2[C@@H]3C[C@@H]3C4=C2C=CC(=C4)C5(CC5)NC(=O)C6=CC=C(C=C6)F,0.18,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2871,162640820,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)NCCOCCOCCOCCOCCOCCOCCOCCNCCNC4=NON=C4C(=NC5=CC(=C(C=C5)F)Br)NO,1.07,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2872,162642976,COC1=CC(=CC(=C1)SC2=CNC3=C2C(=CC=C3)Cl)OC,52,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,,
2873,162643137,C1=CC=C2C(=C1)N=C(S2)COC(CN3C=CN=C3)C4=CC=C(C=C4)F,73.6,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
2874,162643533,CC(C)CC(=O)N1CCCC2=C1N=CC(=C2)CNC(=O)C3=CC=C(C=C3)Cl,1.277,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
2875,162643852,C1=CC(=C(C=C1NC2=CC(=CC3=C2C=C(N3)C(=O)O)[N+](=O)[O-])Cl)F,100,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,,
2876,162644040,C[C@H](C1=NC=C2C(=C1)CCCN2C(=O)C3=CC(=CC=C3)Cl)NC(=O)C4=CC=C(C=C4)Cl,0.0078,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
