STT,CID,SMILES,IC50 (uM)
3824,146457425,C[C@H](C(=O)N1CC(C1)OC2=NON=C2C(=N[C@H]3CC4=C3C=C(C=C4)F)NO)O,0.089
3825,146457427,CC(=O)NC[C@@H](CO)OC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.216
3826,146457430,C1CC1(C(=O)N2CC(C2)OC3=NON=C3C(=N[C@H]4CC5=C4C=C(C=C5)F)NO)O,0.0566
3827,146457431,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3OCCCNS(=O)(=O)N)NO,0.037
3828,146457432,CC(C)(C(=O)NCCO)OC1=NON=C1C(=NC2CC3=C2C=C(C=C3)F)NO,7.789
3829,146457454,CC(=O)N[C@@H](CO)COC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,1.81
3830,146457490,C1CC2=C([C@H]1N=C(C3=NON=C3OCCNS(=O)(=O)N)NO)C=C(C=C2)F,0.421
3831,146457501,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3OC4CN(C4)S(=O)(=O)N)NO,0.024
3832,146457707,CS(=O)(=O)CCOC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,1.483
3833,146457912,C[C@@H](CNS(=O)(=O)N)OC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,1.551
3834,146457997,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3OC4CN(C4)C(=O)N)NO,0.02
3835,146458080,C1CC1(C(=O)NC2CC(C2)OC3=NON=C3C(=N[C@H]4CC5=C4C=C(C=C5)F)NO)O,0.167
3836,146474042,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3NC4CS(=N)(=O)C4)NO,0.0906
3837,146474042,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3NC4CS(=N)(=O)C4)NO,0.12
3838,146474061,CS(=N)(=O)CCC(CNC1=NON=C1C(=N[C@@H]2CC3=C2C=C(C=C3)F)NO)O,0.0578
3839,146474061,CS(=N)(=O)CCC(CNC1=NON=C1C(=N[C@@H]2CC3=C2C=C(C=C3)F)NO)O,0.0775
3840,146474061,CS(=N)(=O)CCC(CNC1=NON=C1C(=N[C@@H]2CC3=C2C=C(C=C3)F)NO)O,0.0945
3841,146474061,CS(=N)(=O)CCC(CNC1=NON=C1C(=N[C@@H]2CC3=C2C=C(C=C3)F)NO)O,0.095
3842,146474064,CS(=N)(=O)N1CC(C1)CNC2=NON=C2C(=N[C@@H]3CC4=C3C=C(C=C4)F)NO,0.0797
3843,146474064,CS(=N)(=O)N1CC(C1)CNC2=NON=C2C(=N[C@@H]3CC4=C3C=C(C=C4)F)NO,0.08
3844,146474065,CS(=N)(=O)CCNC1=NON=C1C(=N[C@@H]2CC3=C2C(=CC=C3)F)NO,0.11
3845,146474065,CS(=N)(=O)CCNC1=NON=C1C(=N[C@@H]2CC3=C2C(=CC=C3)F)NO,0.206
3846,146474083,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3NCC4CS(=N)(=O)C4)NO,0.051
3847,146474083,C1[C@@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3NCC4CS(=N)(=O)C4)NO,0.102
3848,146474091,CS(=N)(=O)NC1CC(C1)OC2=NON=C2C(=N[C@@H]3CC4=C3C=C(C=C4)F)NO,0.0816
3849,146474091,CS(=N)(=O)NC1CC(C1)OC2=NON=C2C(=N[C@@H]3CC4=C3C=C(C=C4)F)NO,0.146
3850,146474092,CS(=N)(=O)N1CCO[C@H](C1)CNC2=NON=C2C(=N[C@@H]3CC4=C3C=C(C=C4)F)NO,0.083
3851,146474092,CS(=N)(=O)N1CCO[C@H](C1)CNC2=NON=C2C(=N[C@@H]3CC4=C3C=C(C=C4)F)NO,0.098
3852,146474094,CS(=N)(=O)N1CC2(C1)CC(C2)NC3=NON=C3C(=N[C@@H]4CC5=C4C=C(C=C5)F)NO,0.0341
3853,146474094,CS(=N)(=O)N1CC2(C1)CC(C2)NC3=NON=C3C(=N[C@@H]4CC5=C4C=C(C=C5)F)NO,0.04
3854,146474096,CC(CS(=N)(=O)CCNC1=NON=C1C(=N[C@@H]2CC3=C2C=C(C=C3)F)NO)O,0.0461
3855,146474096,CC(CS(=N)(=O)CCNC1=NON=C1C(=N[C@@H]2CC3=C2C=C(C=C3)F)NO)O,0.0474
3856,146474096,CC(CS(=N)(=O)CCNC1=NON=C1C(=N[C@@H]2CC3=C2C=C(C=C3)F)NO)O,0.0495
3857,146474096,CC(CS(=N)(=O)CCNC1=NON=C1C(=N[C@@H]2CC3=C2C=C(C=C3)F)NO)O,0.0568
3858,146474097,C1[C@H](C2=C1C=CC(=C2)F)N=C(C3=NON=C3NCCCS(=N)(=O)N)NO,0.0482
3859,146474098,C1CC1S(=N)(=O)CCNC2=NON=C2C(=N[C@@H]3CC4=C3C=C(C=C4)F)NO,0.0591
3860,146474098,C1CC1S(=N)(=O)CCNC2=NON=C2C(=N[C@@H]3CC4=C3C=C(C=C4)F)NO,0.0646
3861,146474101,CS(=N)(=O)C1CC2(C1)CC(C2)NC3=NON=C3C(=N[C@@H]4CC5=C4C=C(C=C5)F)NO,0.0737
3862,146474101,CS(=N)(=O)C1CC2(C1)CC(C2)NC3=NON=C3C(=N[C@@H]4CC5=C4C=C(C=C5)F)NO,0.0904
3863,146474103,CS(=N)(=O)CC12CC(C1)(C2)NC3=NON=C3C(=N[C@@H]4CC5=C4C=C(C=C5)F)NO,0.0815
3864,146474103,CS(=N)(=O)CC12CC(C1)(C2)NC3=NON=C3C(=N[C@@H]4CC5=C4C=C(C=C5)F)NO,0.0917
3865,146474106,C1CS(=N)(=O)C1CNC2=NON=C2C(=N[C@H]3CC4=C3C=C(C=C4)F)NO,0.137
3866,146474106,C1CS(=N)(=O)C1CNC2=NON=C2C(=N[C@H]3CC4=C3C=C(C=C4)F)NO,0.143
3867,146474114,CS(=N)(=O)NCCNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.0387
3868,146474116,CN=S(=O)(C)CCNC(=O)CNC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.237
3869,146669430,C1=CC2=NON=C2C(=C1)CNC3=CC(=CC4=C3C=NN4)Br,0.74
3870,146669430,C1=CC2=NON=C2C(=C1)CNC3=CC(=CC4=C3C=NN4)Br,1.37
3871,146676829,C1C2CC3(CC1CC(C2)(C3)O)C(=O)C[C@H]4C5=C(C=CC=C5F)C6=CN=CN46,0.1
3872,146676829,C1C2CC3(CC1CC(C2)(C3)O)C(=O)C[C@H]4C5=C(C=CC=C5F)C6=CN=CN46,0.5
3873,146676832,C1C2CC3(CC1CC(C2)(C3)O)C(=O)C[C@@H]4C5=C(C=CC=C5F)C6=CN=CN46,0.5
3874,146676832,C1C2CC3(CC1CC(C2)(C3)O)C(=O)C[C@@H]4C5=C(C=CC=C5F)C6=CN=CN46,0.5
3875,146676836,C1C2CC3(CC1CC(C2)(C3)O)C(C[C@@H]4C5=C(C=CC=C5F)C6=CN=CN46)O,0.5
3876,146676837,C1C2CC3(CC1CC(C2)(C3)O)C(C[C@H]4C5=C(C=CC=C5F)C6=CN=CN46)O,0.1
3877,146789673,CC(C(=O)NC1=CC=C(C=C1)Cl)N2CCC3(CC2)COC4=C3C=CC(=C4)C(F)(F)F,0.022
3878,146789673,CC(C(=O)NC1=CC=C(C=C1)Cl)N2CCC3(CC2)COC4=C3C=CC(=C4)C(F)(F)F,1.32
3879,146847894,C1CC1CC(C(=O)NC2=CC=C(C=C2)Cl)N3CCC4(CC3)COC5=C4C=CC(=C5)C(F)(F)F,0.0044
3880,146847894,C1CC1CC(C(=O)NC2=CC=C(C=C2)Cl)N3CCC4(CC3)COC5=C4C=CC(=C5)C(F)(F)F,0.3
3881,146964961,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3C=CC(=O)C4(C)C,0.98
3882,146964961,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3C=CC(=O)C4(C)C,9.33
3883,146981268,CC[C@H](C1[C@H]2[C@@H]1CC(C2)N3C=NC4=CC(=C(C=C43)F)F)NC(=O)C5=CC=C(C=C5)C#N,0.0044
3884,147033765,C1[C@@H]2[C@@H](C2CNC(=O)C3=CC=C(C=C3)Cl)CC1N4C=NC5=CC(=C(C=C54)F)F,0.019
3885,147081451,CCC(C1[C@H]2[C@@H]1CC(C2)N3C=NC4=C3C(=C(C=C4)F)F)NC(=O)C5=CC=C(C=C5)Cl,0.004
3886,147237406,C1C(CN1S(=O)(=O)N)(CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)O,0.064
3887,147385131,CC(C)(C1[C@H]2[C@@H]1CC(C2)N3C=NC4=CC(=C(C=C43)F)F)NC(=O)C5=CC=C(C=C5)Cl,0.0083
3888,147419518,CC(C1[C@H]2[C@@H]1CC(C2)OC3=C4C=C(C=CC4=NC=C3)F)C(=O)NC5=CC=C(C=C5)N6C=NC=N6,0.0071
3889,147442809,CCC(C1[C@H]2[C@@H]1CC(C2)N3C=NC4=CC=CC=C43)NC(=O)C5=CC=C(C=C5)Cl,0.0063
3890,147577185,CCC(C1[C@H]2[C@@H]1CC(C2)OC3=C4C=C(C=CC4=NC=C3)F)C(=O)O,10
3891,147658525,C1CC2(CCN(CC2)CC(=O)NC3=CC=C(C=C3)Cl)C4=CC=CC=C41,0.67
3892,147705074,CC(C1[C@H]2[C@@H]1CC(C2)OC3=C4C=C(C=CC4=NC=C3)F)C(=O)NC5=CC=C(C=C5)C6=NN=CN6C,0.818
3893,147753662,CC(C1=CN(N=N1)CCNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)O,0.053
3894,147761813,CS(=O)(=O)N1CC(C1)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.115
3895,147830709,CCC(C1[C@H]2[C@@H]1CC(C2)N3C=NC(=N3)C4CC4)NC(=O)C5=CC=C(C=C5)Cl,0.069
3896,148026225,C1=CC(=C(C=C1N=C(C2=NON=C2SCCNC(=O)CS(=O)(=O)N)NO)Br)F,0.012
3897,148026225,C1=CC(=C(C=C1N=C(C2=NON=C2SCCNC(=O)CS(=O)(=O)N)NO)Br)F,0.071
3898,148191880,C1=CC(=C(C=C1N2C3=C(C(=O)C4=C(C3=O)C=CC(=C4)F)N=N2)Cl)F,0.005
3899,148191880,C1=CC(=C(C=C1N2C3=C(C(=O)C4=C(C3=O)C=CC(=C4)F)N=N2)Cl)F,0.005
3900,148191880,C1=CC(=C(C=C1N2C3=C(C(=O)C4=C(C3=O)C=CC(=C4)F)N=N2)Cl)F,0.098
3901,148191880,C1=CC(=C(C=C1N2C3=C(C(=O)C4=C(C3=O)C=CC(=C4)F)N=N2)Cl)F,0.098
3902,148233340,CN(C)S(=O)(=O)N1CC(C1)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.142
3903,148269434,CCC(C1[C@H]2[C@@H]1CC(C2)N3C=C(N=N3)C4CC4)NC(=O)C5=CC=C(C=C5)Cl,0.019
3904,148270333,C[C@H](CSC1=NON=C1C(=NC2=CC(=C(C=C2)F)Br)NO)NC(=O)CS(=O)(=O)N,0.012
3905,148270333,C[C@H](CSC1=NON=C1C(=NC2=CC(=C(C=C2)F)Br)NO)NC(=O)CS(=O)(=O)N,0.11
3906,148419289,CC(C1[C@H]2[C@@H]1CC(C2)N3C=NC4=CC(=C(C=C43)F)F)C(=O)NC5=CC6=C(C=C5)C=NO6,0.0157
3907,148430768,C[C@@H](C1CCC2(CC1)COC3=C2C=CC(=N3)C(F)(F)F)C(=O)NC4=CC=C(C=C4)Cl,0.0054
3908,148594437,CC1=CN=C(C=N1)NC(=O)C(C2CC2)C3[C@H]4[C@@H]3CC(C4)OC5=C6C=C(C=CC6=NC=C5)F,0.00154
3909,148661670,CC(C1[C@H]2[C@@H]1CC(C2)N3C=NC4=CC(=C(C=C43)F)F)C(=O)NC56CC(C5)(C6)C#N,1.648
3910,148674902,C1C(CN1S(=O)(=O)N)(CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO)F,0.128
3911,148732630,C[C@H](C1[C@H]2[C@@H]1CC(C2)N3C=NC4=CC(=C(C=C43)F)F)NC(=O)C5=CC=C(C=C5)C#N,0.033
3912,148862599,CCC(C1[C@H]2[C@@H]1CC(C2)N3C=NC4=C3C=CC=C4F)NC(=O)C5=CC=C(C=C5)Cl,0.007
3913,148916634,CC[C@H](C1[C@H]2[C@@H]1CC(C2)N3C=NC4=CC(=C(C=C43)F)F)NC(=O)C5=CC=C(C=C5)Cl,0.0017
3914,148916634,CC[C@H](C1[C@H]2[C@@H]1CC(C2)N3C=NC4=CC(=C(C=C43)F)F)NC(=O)C5=CC=C(C=C5)Cl,0.116
3915,149051270,CCC(C1[C@H]2[C@@H]1CC(C2)N3C=NC4=C3C=C(C=C4)F)NC(=O)C5=CC=C(C=C5)Cl,0.0026
3916,149051271,CC[C@@H](C1[C@H]2[C@@H]1CC(C2)N3C=NC4=C3C=C(C=C4)F)NC(=O)C5=CC=C(C=C5)Cl,0.0084
3917,149051272,CC[C@H](C1[C@H]2[C@@H]1CC(C2)N3C=NC4=C3C=C(C=C4)F)NC(=O)C5=CC=C(C=C5)Cl,0.0022
3918,149051272,CC[C@H](C1[C@H]2[C@@H]1CC(C2)N3C=NC4=C3C=C(C=C4)F)NC(=O)C5=CC=C(C=C5)Cl,0.0028
3919,149141775,C1CC(CC1CCNS(=O)(=O)N)NC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,0.015
3920,149212472,C1CC(CCC1CCNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N)CNS(=O)(=O)N,0.048
3921,149226251,C1C[C@@H](CN(C1)S(=O)(=O)N)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.05776
3922,149226251,C1C[C@@H](CN(C1)S(=O)(=O)N)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.1391
3923,149226252,C1C[C@H](CN(C1)S(=O)(=O)N)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.06859
3924,149226252,C1C[C@H](CN(C1)S(=O)(=O)N)CNC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)NO,0.1781
3925,149289212,C1CC1C(C2[C@H]3[C@@H]2CC(C3)OC4=C5C=C(C=CC5=NC=C4)F)C(=O)NC6=NN(C=C6)C(F)(F)F,0.00202
3926,149343553,CC[C@H](C1[C@H]2[C@@H]1CC(C2)N3C=NC4=C3C=C(C=C4)C#N)NC(=O)C5=CC=C(C=C5)Cl,0.0088
3927,149355026,C1CN(CCC1C2=C3C=CC(=CC3=NC=C2)F)C(=O)C(=O)NC4=CC=C(C=C4)Cl,0.019
3928,149391659,C1[C@@H]2[C@@H](C2CNC(=O)C3=CC=C(C=C3)Cl)CC1OC4=C5C=C(C=CC5=NC=C4)F,0.0042
3929,149391659,C1[C@@H]2[C@@H](C2CNC(=O)C3=CC=C(C=C3)Cl)CC1OC4=C5C=C(C=CC5=NC=C4)F,0.014
3930,149391659,C1[C@@H]2[C@@H](C2CNC(=O)C3=CC=C(C=C3)Cl)CC1OC4=C5C=C(C=CC5=NC=C4)F,0.334
3931,149546852,C1=CC(=C(C=C1N=C(C2=NON=C2NCCN3C=C(N=N3)CCO)NO)Br)F,0.247
3932,149629426,CCCC1=C(N2C=NC=C2S1)C(C3CCCCC3)O,0.0495
3933,149660692,CC1(CCCCC1)C(C2=C(SC3=CN=CN32)C4CC4)O,0.0106
3934,149681008,C1CCC(CC1)C(C2=C(SC3=CN=CN32)[C@@H]4C[C@H]4F)O,0.0185
3935,149681009,C1CCC(CC1)C(C2=C(SC3=CN=CN32)[C@@H]4C[C@@H]4F)O,0.0218
3936,149689411,C1CC(CC(C1)C(F)(F)F)CC(C2=C(SC3=CN=CN32)C4CC4)O,0.0876
3937,149700813,C1CC1C2=C(N3C=NC=C3S2)C(C4=CC=C(C=C4)Cl)O,0.0639
3938,149726586,CC1=C(N2C=NC=C2S1)C(CC3CCC(C3)C4=CC=CC=C4)O,0.167
3939,149729864,CC1(CCCC1C(C2=C(SC3=CN=CN32)C4CC4)O)C,0.074
3940,149734681,C1CCC2(C1)CCC(CC2)C(C3=C(SC4=CN=CN43)C5CC5)O,0.0721
3941,149751989,CN1C=C(C=N1)C2=C(N3C=NC=C3S2)C(C4CCCCC4)O,0.209
3942,149755962,C1CC1C2=C(N3C=NC=C3S2)C(C4=CC=CC=C4Cl)O,1.12
3943,149758162,CC1=C(N2C=NC=C2S1)C(C3CCN(CC3)C4=CC=CC=C4)O,0.537
3944,149763223,C1CC(C1)C2CCC(CC2)C(C3=C(SC4=CN=CN43)C5CC5)O,0.0701
3945,149769188,C=CC1=C(N2C=NC=C2S1)[C@H](C3CCCCC3)O,0.00463
3946,149792953,CCC1CCC(CC1)CC(C2=C(SC3=CN=CN32)C4CC4)O,0.0858
3947,149842215,CC1CCCC(C1)CC(C2=C(SC3=CN=CN32)C(F)(F)F)O,0.205
3948,149845159,COCC1=C(N2C=NC=C2S1)C(C3CCCCC3)O,0.744
3949,149896920,C1CC2CC(CC2C1)C(C3=C(SC4=CN=CN43)C5CC5)O,0.00707
3950,149905450,C1CC1C2=C(N3C=NC=C3S2)C(C4=CC(=CC=C4)C(F)(F)F)O,0.587
3951,149929492,CC1=C(N2C=NC=C2S1)C(C3(CCCCC3)C)O,0.0324
3952,149937977,CC1(CCC(C1)(C)C(C2=C(SC3=CN=CN32)C4CC4)O)C,0.0187
3953,149940261,CC1(CCCCC1CC(C2=C(SC3=CN=CN32)C4CC4)O)C,0.147
3954,149984352,C1CC(C(C1)C(C2=C(SC3=CN=CN32)C4CC4)O)CC5=CC=CC=C5,0.288
3955,150009286,C1CC(C(C1)C2=CC=CC=C2)CC(C3=C(SC4=CN=CN43)C5CC5)O,0.139
3956,150077839,CC1CCCCC1CC(C2=C(SC3=CN=CN32)C(F)(F)F)O,0.165
3957,150093468,CCC1=C(N2C=NC=C2S1)C(C3(CCCCC3)C)O,0.00704
3958,150146867,CC(C)(C)C1CCC(CC1)CC(C2=C(SC3=CN=CN32)C4CC4)O,0.95
3959,150156388,CC(C)C1CCC(CC1)CC(C2=C(SC3=CN=CN32)C4CC4)O,0.511
3960,150208813,C1CCC2CC(CCC2C1)CC(C3=C(SC4=CN=CN43)C5CC5)O,0.485
3961,150295232,CC(C1CCCCC1)C(C2=C(SC3=CN=CN32)C4CC4)O,0.0873
3962,150328803,CC1=C(N2C=NC=C2S1)C(CC3CCCC3)O,0.19
3963,150394089,CC1(CCC(C1)CC(C2=C(SC3=CN=CN32)C(F)(F)F)O)C,0.313
3964,150400598,C=CC1=C(N2C=NC=C2S1)C(CC3CCCCC3)O,0.0105
3965,150404619,CCC1=C(N2C=NC=C2S1)C(CC3CCCC3)O,0.0289
3966,150433259,CCC(C1CCCCC1)C(C2=C(SC3=CN=CN32)C4CC4)O,1.57
3967,150437874,CCN1C=C(N=N1)C(C2=C(SC3=CN=CN32)C4CC4)O,0.498
3968,150449537,CCCC1=C(N2C=NC=C2S1)C(CC3CCCCC3)O,0.0368
3969,150474482,CC1(CCC(CC1)C(C2=C(SC3=CN=CN32)C(F)(F)F)O)C,0.0583
3970,150486547,CC1=C(N2C=NC=C2S1)C(C3=CC=CC=C3)O,0.561
3971,150552671,C1CC1C2=C(N3C=NC=C3S2)C(C4=CC=CS4)O,0.0903
3972,150568630,C1CCC(C1)CC(C2=C(SC3=CN=CN32)C(F)(F)F)O,0.101
3973,150590411,C1CCC(CC1)CC(C2=C(SC3=CN=CN32)C4=CC=CC=C4)O,0.296
3974,150597574,COC1=CC=C(C=C1)C2=C(N3C=NC=C3S2)C(C4CCCCC4)O,3.09
3975,150629192,C1CCC(C1)N2C=C(N=N2)C(C3=C(SC4=CN=CN43)C5CC5)O,0.0961
3976,150676830,C1CCC(C1)N2C=C(C=N2)C(C3=C(SC4=CN=CN43)C5CC5)O,0.112
3977,150689691,CC(C)C1(CCC(C1)C(C2=C(SC3=CN=CN32)C4CC4)O)C,0.0332
3978,150745629,COC1CCC(CC1)CC(C2=C(SC3=CN=CN32)C4CC4)O,0.0113
3979,150890259,C1CC1C2=C(N3C=NC=C3S2)C(C45CCC(C4)(C5)C6=CC=CC=C6)O,0.0612
3980,150894158,CC1(CCC(C1)C(C2=C(SC3=CN=CN32)C4CC4)O)C5=CC=CC=C5,0.0767
3981,150923093,C1CCC(CC1)C(C2=C(SC3=CN=CN32)C4=CC=CC=C4F)O,0.441
3982,150930452,CC1=C(N2C=NC=C2S1)[C@H](C3(CCCC3)C)O,0.0239
3983,150930453,CC1=C(N2C=NC=C2S1)C(C3(CCCC3)C)O,0.03
3984,150933704,COC1=C(C(=O)C(=CC1=O)NC2=CC(=CC=C2)Br)OC,0.13
3985,150933704,COC1=C(C(=O)C(=CC1=O)NC2=CC(=CC=C2)Br)OC,11.2
3986,150955698,C1CCC(CC1)CC(C2=C(SC3=CN=CN32)C4=CSC=C4)O,0.313
3987,151030330,C1CC1C2=C(N3C=NC=C3S2)C(C4=CC=CC=C4F)O,0.0567
3988,151057528,C1CCC2C(C1)CCCC2CC(C3=C(SC4=CN=CN43)C5CC5)O,0.528
3989,151060612,C1CCC(CC1)N2C=C(N=N2)C(C3=C(SC4=CN=CN43)C5CC5)O,0.287
3990,151062656,CC1(CC(C1)C(C2=C(SC3=CN=CN32)C(F)(F)F)O)C,0.00981
3991,151100994,C1CC1C2=C(N3C=NC=C3S2)C(C4CCC(C4)CC5=CC=CC=C5)O,0.0912
3992,151109135,C1CC1C2=C(N3C=NC=C3S2)C(C4=CC(=CC=C4)F)O,0.0331
3993,151194080,CC1=C(N2C=NC=C2S1)C(C3CCC(C3)(C)C)O,0.0812
3994,151247129,CC(C)CC1=C(N2C=NC=C2S1)C(CC3CCCCC3)O,0.837
3995,151248149,C1CCC(CC1)C(C2=C(SC3=CN=CN32)C4=CN=CC=C4)O,0.342
3996,151276892,CC(C)N1C=C(N=N1)C(C2=C(SC3=CN=CN32)C4CC4)O,0.304
3997,151281088,C1CC2C[C@H]1C[C@H]2[C@H](C3=C(SC4=CN=CN43)C5CC5)O,0.0161
3998,151320595,C1CC1C2=C(N3C=NC=C3S2)C(C4CCC(CC4)C(F)(F)F)O,0.0433
3999,151378998,C1CC1C2=C(N3C=NC=C3S2)C(CC4=CC=CC5=CC=CC=C54)O,0.325
4000,151382069,CC1=C(N2C=NC=C2S1)C(C3CC(C3)(C)C)O,0.0136
4001,151394111,COC1=CC=CC=C1C(C2=C(SC3=CN=CN32)C4CC4)O,1.11
4002,151516996,COC1CCCC(C1)CC(C2=C(SC3=CN=CN32)C4CC4)O,0.0405
4003,151528832,C1CC(C(C1)C(C2=C(SC3=CN=CN32)C4CC4)O)C5=CC=CC=C5,0.296
4004,151610916,CC1(CC1)C2=C(N3C=NC=C3S2)C(C4CCCCC4)O,0.415
4005,151634501,CCC1=C(N2C=NC=C2S1)C(CC3CCC(CC3)(C)C)O,0.118
4006,151646244,C1CC1C2=C(N3C=NC=C3S2)C(C4CCC(CC4)O)O,0.102
4007,151654826,CC(C)(C)C1CCC(CC1)C(C2=C(SC3=CN=CN32)C4CC4)O,0.511
4008,151656446,C1CC1C2=C(N3C=NC=C3S2)C(C4=CC(=CC=C4)Cl)O,0.0651
4009,151735826,CCC1=C(N2C=NC=C2S1)[C@@H](CC3CCCCC3)O,1.19
4010,151736365,C1CC1C2=C(N3C=NC=C3S2)C(C4=NNN=C4)O,1.95
4011,151758120,CCNC1CCC(CC1)CC(C2=C(SC3=CN=CN32)C4CC4)O,2.37
4012,151781853,C1CCC(C1)C2CCC(CC2)CC(C3=C(SC4=CN=CN43)C5CC5)O,0.757
4013,151796142,CN1C=C(N=N1)C(C2=C(SC3=CN=CN32)C4CC4)O,0.59
4014,151806171,CC(C)C1CCC(CC1)C(C2=C(SC3=CN=CN32)C4CC4)O,0.102
4015,151812552,CCC1CCCC1C(C2=C(SC3=CN=CN32)C4CC4)O,0.0294
4016,151824339,CC1=CC=CC=C1C(C2=C(SC3=CN=CN32)C4CC4)O,1.16
4017,151826669,CCCC1CCC(CC1)CC(C2=C(SC3=CN=CN32)C4CC4)O,0.687
4018,151843338,COC1CCCC(C1)C(C2=C(SC3=CN=CN32)C4CC4)O,0.109
4019,151900070,CCC1=C(N2C=NC=C2S1)C(C3=CC=CC=C3)O,0.0593
4020,151994368,C1CC(C1)N2C=C(N=N2)C(C3=C(SC4=CN=CN43)C5CC5)O,0.183
4021,152045876,C1CC(CC1CC(C2=C(SC3=CN=CN32)C(F)(F)F)O)C4=CC=CC=C4,0.666
4022,152068973,CCC1=C(N2C=NC=C2S1)C(C3CC(C3)(C)C)O,0.00665
4023,152089890,C1CC(CCC1CC(C2=C(SC3=CN=CN32)C4CC4)O)O,0.0184
4024,152148781,C1CCC(C(C1)CC(C2=C(SC3=CN=CN32)C4CC4)O)C5=CC=CC=C5,1.04
4025,152187490,C1CCC(CC1)C(C2=C(SC3=CN=CN32)C4=CC(=CC=C4)F)O,0.965
4026,152191084,COC(=O)NCCOC1=NON=C1C(=N[C@H]2CC3=C2C=C(C=C3)F)NO,0.141
4027,152238715,CC1(CCCC(C1)CC(C2=C(SC3=CN=CN32)C4CC4)O)C,0.0851
4028,152242725,C1CC1C2=C(N3C=NC=C3S2)C(C4=CC=C(C=C4)F)O,0.0328
4029,152310966,C1CC1C2=C(N3C=NC=C3S2)C(C4=CSC=C4)O,0.0773
4030,152327188,C1CCC(C1)C(C2=C(SC3=CN=CN32)C(F)(F)F)O,0.0443
4031,152340921,CC(C)CC1CCC(C1)C(C2=C(SC3=CN=CN32)C4CC4)O,0.0723
4032,152383559,C1CC(C1)C2CCC(CC2)CC(C3=C(SC4=CN=CN43)C5CC5)O,0.82
4033,152404095,C1CCCC(CC1)C(C2=C(SC3=CN=CN32)C4CC4)O,0.0142
4034,152425341,C1CCC(CC1)[C@@H](C2=C(SC3=CN=CN32)C(F)(F)F)O,0.0209
4035,152522183,C1CCC(CC1)C(C2=C(SC3=CN=CN32)C4=CSC=C4)O,0.144
4036,152523415,CC1(CCCC(C1)C(C2=C(SC3=CN=CN32)C4CC4)O)C,0.04
4037,152532526,C1CCC2CC(CCC2C1)C(C3=C(SC4=CN=CN43)C5CC5)O,0.133
4038,152591700,C1CC1C2=C(N3C=NC=C3S2)C(C4CCC5=CC=CC=C5C4)O,0.0342
4039,152610642,C1CC(CCC1CC(C2=C(SC3=CN=CN32)C4CC4)O)C(F)F,0.0243
4040,152636648,CC1(CCCCCC1)C(C2=C(SC3=CN=CN32)C4CC4)O,0.0321
4041,152639939,C1CC(CC(C1)C(F)(F)F)C(C2=C(SC3=CN=CN32)C4CC4)O,0.0757
4042,152650725,C1CC1C2=C(N3C=NC=C3S2)C(C4=CC=C(C=C4)C(F)(F)F)O,0.305
4043,152677986,CC1(CCC(CC1)CC(C2=C(SC3=CN=CN32)C(F)(F)F)O)C,0.447
4044,152723249,C1CCC(CC1)C(C2=C(SC3=CN=CN32)C4(CC4)F)O,0.115
4045,152727935,C1CCC(CC1)[C@@H](C2=C(SC3=CN=CN32)C4=CC=CC=C4)O,0.242
4046,152878566,CCC(C1[C@H]2[C@@H]1CC(C2)OC3=CC=NC4=CC=CC=C43)NC(=O)C5=CC=C(C=C5)Cl,0.0016
4047,152878566,CCC(C1[C@H]2[C@@H]1CC(C2)OC3=CC=NC4=CC=CC=C43)NC(=O)C5=CC=C(C=C5)Cl,0.0099
